experiment,hour,platform_os,day_of_week,brand,response
exposed,16,6,Saturday,generic,1
exposed,8,6,Monday,generic,0
control,15,6,Friday,generic,0
exposed,2,6,Friday,generic,0
control,15,6,Friday,generic,1
control,15,6,Friday,generic,0
exposed,14,6,Friday,generic,0
exposed,6,6,Sunday,generic,1
exposed,20,6,Wednesday,generic,0
control,16,6,Saturday,generic,1
exposed,8,6,Thursday,generic,0
exposed,19,6,Sunday,generic,0
exposed,5,6,Friday,generic,0
control,15,6,Tuesday,generic,1
exposed,1,6,Thursday,generic,1
control,18,6,Wednesday,generic,1
control,19,6,Saturday,generic,1
control,22,6,Wednesday,generic,0
exposed,6,6,Wednesday,generic,1
control,15,6,Friday,generic,1
control,19,6,Sunday,generic,0
exposed,15,6,Friday,generic,1
exposed,20,6,Wednesday,generic,1
exposed,20,6,Wednesday,generic,1
control,15,6,Friday,generic,0
exposed,21,6,Wednesday,generic,1
exposed,21,6,Sunday,generic,1
control,15,6,Friday,generic,0
control,14,6,Wednesday,generic,1
exposed,22,6,Wednesday,generic,0
control,15,6,Friday,known brand,1
exposed,3,6,Sunday,generic,1
exposed,16,6,Friday,generic,0
exposed,16,6,Wednesday,generic,1
control,2,6,Thursday,generic,0
control,15,6,Friday,generic,1
exposed,14,6,Thursday,generic,0
exposed,8,6,Thursday,generic,0
control,15,6,Friday,generic,0
control,15,6,Friday,generic,0
control,0,6,Sunday,generic,1
control,12,6,Thursday,generic,1
control,15,6,Sunday,generic,0
control,12,6,Friday,generic,0
exposed,10,6,Friday,generic,0
control,3,6,Tuesday,generic,1
control,9,6,Friday,generic,0
exposed,17,6,Wednesday,generic,0
control,15,6,Friday,generic,0
control,15,6,Thursday,generic,0
exposed,0,6,Friday,generic,0
exposed,17,6,Friday,generic,1
control,15,6,Friday,generic,1
control,15,6,Friday,generic,0
control,10,6,Sunday,generic,0
exposed,16,6,Thursday,generic,0
exposed,12,6,Friday,generic,0
exposed,19,6,Thursday,generic,1
exposed,9,6,Saturday,generic,1
control,5,6,Friday,generic,1
control,15,6,Friday,generic,0
exposed,10,6,Saturday,generic,0
exposed,19,6,Thursday,known brand,0
control,15,6,Friday,generic,1
exposed,1,6,Friday,generic,0
exposed,19,6,Sunday,generic,0
control,14,6,Thursday,generic,0
control,15,6,Friday,generic,1
exposed,9,6,Saturday,generic,0
exposed,17,6,Wednesday,generic,1
control,10,6,Thursday,generic,0
exposed,3,6,Monday,generic,0
control,3,6,Monday,known brand,1
exposed,20,6,Wednesday,generic,0
exposed,23,6,Tuesday,generic,1
control,20,6,Wednesday,generic,0
exposed,8,6,Sunday,generic,0
control,16,6,Wednesday,generic,1
control,15,6,Friday,generic,1
exposed,16,6,Saturday,generic,1
exposed,13,6,Thursday,generic,0
control,4,6,Sunday,generic,1
exposed,8,6,Thursday,generic,1
exposed,16,6,Wednesday,generic,0
control,15,6,Friday,generic,0
exposed,0,6,Friday,generic,1
control,15,6,Friday,generic,0
exposed,16,6,Saturday,generic,1
control,15,6,Friday,generic,1
control,16,6,Friday,generic,1
control,15,6,Friday,generic,0
exposed,5,6,Thursday,generic,1
exposed,7,6,Sunday,generic,0
exposed,2,6,Saturday,generic,0
exposed,6,6,Saturday,generic,1
exposed,22,6,Thursday,generic,1
exposed,2,6,Friday,known brand,0
control,15,6,Friday,generic,1
control,15,6,Friday,generic,1
control,20,6,Tuesday,generic,1
control,15,6,Friday,generic,0
exposed,9,6,Friday,generic,0
control,6,6,Thursday,generic,1
control,22,6,Thursday,generic,1
exposed,20,6,Wednesday,generic,1
control,5,6,Sunday,generic,0
control,18,6,Thursday,generic,0
exposed,6,6,Thursday,generic,0
control,9,6,Friday,generic,1
control,8,6,Monday,generic,1
control,15,6,Friday,generic,0
exposed,3,6,Thursday,generic,1
exposed,10,6,Friday,generic,1
exposed,14,6,Saturday,generic,1
exposed,8,6,Monday,generic,1
exposed,1,6,Friday,generic,0
control,3,6,Saturday,generic,0
control,19,6,Wednesday,generic,0
exposed,15,6,Wednesday,generic,1
exposed,11,6,Tuesday,generic,0
exposed,9,6,Thursday,generic,1
exposed,14,6,Thursday,generic,1
control,9,6,Saturday,generic,0
control,6,6,Saturday,generic,0
control,2,6,Saturday,generic,1
control,3,6,Friday,generic,0
exposed,12,6,Sunday,generic,0
control,6,6,Tuesday,generic,0
control,6,6,Friday,generic,1
exposed,19,6,Saturday,generic,1
exposed,9,6,Friday,generic,1
exposed,11,6,Thursday,generic,0
exposed,1,6,Friday,known brand,0
exposed,3,6,Monday,generic,0
control,18,6,Wednesday,generic,0
control,18,6,Wednesday,generic,0
control,0,6,Friday,known brand,1
exposed,0,6,Friday,generic,0
control,5,6,Sunday,generic,0
exposed,1,6,Monday,generic,0
exposed,7,6,Friday,generic,0
control,14,6,Saturday,generic,0
exposed,7,6,Friday,generic,0
exposed,10,6,Thursday,generic,1
exposed,7,6,Saturday,generic,0
control,8,6,Thursday,generic,0
control,10,6,Sunday,generic,1
control,15,6,Friday,generic,1
control,18,6,Sunday,known brand,0
exposed,17,6,Sunday,generic,0
exposed,14,6,Saturday,generic,1
control,10,6,Tuesday,generic,0
exposed,8,6,Thursday,generic,0
control,7,6,Wednesday,generic,0
exposed,13,6,Wednesday,generic,1
control,8,6,Saturday,generic,1
exposed,5,6,Thursday,generic,0
exposed,19,6,Wednesday,generic,0
control,14,6,Thursday,generic,0
control,5,6,Sunday,generic,0
exposed,6,6,Thursday,generic,1
control,11,6,Thursday,generic,1
control,15,6,Friday,generic,1
exposed,10,6,Saturday,generic,1
exposed,10,6,Sunday,generic,0
exposed,18,6,Wednesday,generic,0
exposed,9,6,Monday,generic,0
control,10,6,Tuesday,generic,1
control,21,6,Wednesday,known brand,1
control,15,6,Friday,generic,0
control,12,6,Thursday,known brand,0
exposed,12,6,Sunday,generic,0
control,2,6,Friday,generic,1
control,15,6,Friday,generic,0
control,15,6,Friday,generic,0
control,15,6,Friday,generic,1
control,15,6,Friday,generic,0
control,2,6,Wednesday,generic,0
exposed,2,6,Tuesday,generic,0
exposed,8,6,Saturday,generic,0
control,4,6,Friday,generic,1
control,4,6,Thursday,known brand,0
exposed,15,6,Thursday,generic,0
control,15,6,Friday,generic,1
exposed,0,6,Sunday,generic,1
control,0,6,Thursday,generic,0
exposed,0,6,Thursday,generic,0
exposed,11,6,Friday,generic,0
exposed,16,6,Wednesday,generic,1
exposed,8,6,Sunday,generic,0
exposed,15,6,Wednesday,generic,0
exposed,3,6,Friday,generic,0
control,15,6,Friday,generic,0
exposed,7,6,Friday,generic,1
exposed,8,6,Friday,generic,0
control,22,6,Wednesday,generic,1
control,17,6,Tuesday,generic,1
exposed,1,6,Friday,generic,1
exposed,3,6,Saturday,generic,0
exposed,11,6,Thursday,generic,0
exposed,17,6,Wednesday,generic,1
exposed,3,6,Monday,generic,0
control,19,6,Saturday,generic,0
control,15,6,Friday,generic,0
exposed,16,6,Thursday,generic,0
exposed,7,6,Friday,generic,0
exposed,16,6,Thursday,generic,0
control,15,6,Friday,generic,0
control,15,6,Friday,generic,1
exposed,6,6,Monday,generic,1
control,15,6,Friday,generic,0
exposed,10,6,Monday,generic,1
exposed,6,6,Monday,generic,1
control,15,6,Friday,generic,0
control,15,6,Friday,generic,0
exposed,13,6,Sunday,generic,1
control,3,6,Tuesday,generic,0
control,13,6,Saturday,generic,0
exposed,9,6,Friday,generic,0
exposed,11,6,Sunday,generic,1
exposed,12,6,Thursday,generic,0
control,14,6,Wednesday,generic,0
exposed,23,6,Saturday,generic,1
control,1,6,Thursday,generic,1
control,15,6,Friday,generic,1
exposed,14,6,Friday,generic,0
exposed,18,6,Tuesday,generic,0
exposed,14,6,Wednesday,generic,1
control,15,6,Friday,generic,0
control,11,6,Sunday,generic,1
control,15,6,Friday,generic,1
exposed,7,6,Thursday,generic,1
exposed,21,6,Wednesday,known brand,1
exposed,17,6,Thursday,generic,0
control,14,6,Friday,generic,0
exposed,15,6,Wednesday,generic,1
control,19,6,Wednesday,generic,0
control,15,6,Friday,generic,1
exposed,15,6,Wednesday,generic,0
exposed,9,6,Tuesday,generic,1
exposed,22,6,Tuesday,generic,1
control,9,6,Thursday,generic,0
control,3,6,Saturday,generic,0
exposed,18,6,Wednesday,generic,0
exposed,11,6,Friday,generic,0
control,15,6,Friday,generic,1
exposed,10,6,Friday,generic,1
exposed,8,6,Sunday,known brand,0
exposed,16,6,Saturday,generic,0
exposed,8,6,Friday,generic,1
exposed,6,6,Saturday,generic,1
exposed,15,6,Wednesday,generic,0
exposed,6,6,Sunday,generic,0
exposed,10,6,Saturday,generic,1
exposed,9,6,Monday,generic,0
exposed,9,6,Saturday,generic,1
exposed,17,6,Saturday,generic,0
exposed,16,6,Friday,generic,0
exposed,12,6,Thursday,generic,1
control,8,6,Tuesday,generic,1
exposed,19,6,Saturday,generic,0
control,15,6,Friday,generic,0
exposed,11,6,Thursday,generic,0
control,15,6,Friday,generic,1
exposed,8,6,Friday,generic,1
exposed,12,6,Friday,generic,0
control,15,6,Friday,generic,0
exposed,0,6,Sunday,generic,0
control,12,6,Thursday,generic,1
exposed,10,6,Friday,generic,0
exposed,11,6,Friday,generic,0
control,15,6,Friday,generic,1
control,15,6,Friday,generic,0
exposed,8,6,Friday,generic,0
control,5,6,Monday,generic,0
control,15,6,Friday,generic,0
control,15,6,Friday,generic,0
exposed,4,6,Saturday,generic,0
exposed,18,6,Wednesday,generic,1
control,4,6,Friday,generic,0
exposed,15,6,Friday,generic,0
exposed,8,6,Friday,generic,0
control,15,6,Friday,generic,0
exposed,4,6,Monday,generic,1
exposed,11,6,Saturday,known brand,1
control,21,6,Saturday,generic,1
exposed,5,6,Wednesday,generic,1
control,15,6,Friday,generic,1
control,11,6,Saturday,generic,1
control,9,6,Tuesday,generic,1
control,15,6,Friday,generic,1
control,4,6,Friday,generic,1
exposed,11,6,Sunday,generic,0
exposed,10,6,Sunday,generic,0
control,6,6,Saturday,generic,0
control,15,6,Friday,generic,1
exposed,8,6,Wednesday,generic,0
exposed,4,6,Monday,generic,1
control,15,6,Friday,generic,0
control,5,6,Saturday,known brand,0
control,2,6,Saturday,generic,0
control,15,6,Friday,generic,0
control,15,6,Friday,generic,0
exposed,11,6,Friday,generic,0
control,20,6,Wednesday,generic,0
control,5,6,Tuesday,generic,0
exposed,7,6,Monday,generic,0
